Entity,Apr_Temp,April Per POP,DEPENDENT GROWTH RATE,Gov_Health_Spending_US_Thousands,Prepaid_Private_Health_Spending_US_Thousands,Out_Pocket_Health_Spending_US_Thousands,2019_Life_Expectancy,Child_Mortality_Rate_Percent,Maternal_Mortality_Per_100000,DALY_Per_100000,Deaths_HIV_AIDS,New_Cases_HIV_AIDS,People_Living_With_HIV_AIDS_x10,Region,Population,Area (sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Apr_precip
Afghanistan,13.37,7.63E-06,8.852320675,98873,18107,1495287,64.833,7.04,396,56925.1484,302.16688,922.173458,473.003433,ASIA (EX. NEAR EAST),31056997,647500,0,23.06,163.07,700,36,3.2,12.13,0.22,87.65,1,46.6,20.34,0.38,0.24,0.38,49.41
Albania,9.92,7.23E-05,2.019305019,628918,45361,322853,78.573,1.35,29,23013.6915,1.28579965,3.03019156,3.18741313,EASTERN EUROPE,3581655,28748,1.26,-4.93,21.52,4500,86.5,71.2,21.09,4.42,74.49,3,15.11,5.22,232,188,579,86.16
Algeria,21.94,2.57E-05,3.904368359,7283841,160002,3324466,76.88,2.52,140,24307.3776,326.660742,900.805751,1125.39246,NORTHERN AFRICA,32930091,2381740,0.04,-0.39,31,6000,70,78.1,3.22,0.25,96.53,1,17.14,4.61,101,0.6,298,8.04
Andorra,,0.005477451,0.91025641,177741,32673,148779,83.732,0.27,,17946.3721,0.44199017,4.59493765,8.70942069,WESTERN EUROPE,71201,468,0,6.6,4.05,19000,100,497.2,2.22,0,97.78,3,8.71,6.25,,,,
Argentina,14.05,2.64E-05,3.299810247,29890159,4310294,6018117,76.667,1.11,52,24632.5904,1719.21784,12182.5318,20749.7756,LATIN AMER. & CARIB,39921833,2766890,0.18,0.61,15.18,11200,97.1,220.4,12.31,0.48,87.21,3,16.73,7.55,95,358,547,46.48
Armenia,6.62,0.000191844,2.761821366,180672,14921,1015752,75.087,1.34,25,25136.0644,23.7288217,164.95185,180.58098,C.W. OF IND. STATES,2976372,29800,0,-6.47,23.28,3500,98.6,195.7,17.55,2.3,80.15,4,12.07,8.23,239,343,418,59.73
Australia,21.87,4.15E-06,0.261904762,85657848,16141083,22581288,83.436,0.37,6,19037.6262,76.5799211,1394.51602,1639.50139,OCEANIA,20264082,7686850,0.34,3.98,4.69,29000,100,565.5,6.55,0.04,93.41,1,12.14,7.51,38,262,0.7,31.12
Austria,5.51,0.001307355,0.450004668,32225833,3759990,8568340,81.544,0.35,4,18620.9415,37.9689139,687.623507,1623.355,WESTERN EUROPE,8192880,83870,0,2,4.66,30000,98,452.2,16.91,0.86,82.23,3,8.74,9.76,18,304,678,90.7
Azerbaijan,11.64,4.51E-05,4.164345404,510992,20518,2521494,73.005,3.09,25,34532.2885,31.5164108,351.290726,315.628402,C.W. OF IND. STATES,7961619,86600,0,-4.9,81.74,3400,97,137.1,19.63,2.71,77.66,1,20.74,9.75,141,457,402,48.44
Bahrain,,0.000814504,4.571177504,1040748,194843,515507,77.292,0.76,15,21249.8598,11.5271893,20.1642695,27.3792243,NEAR EAST,698585,665,24.21,1.05,17.27,16900,89.1,281.3,2.82,5.63,91.55,1,17.8,4.14,5,387,608,
Bangladesh,28.02,3.66E-07,151.5555556,1131007,184094,4565093,72.591,3.42,176,33089.659,627.040859,955.718294,979.431674,ASIA (EX. NEAR EAST),147365352,144000,0.4,-0.71,62.6,1900,43.1,7.3,62.11,3.07,34.82,2,29.8,8.27,199,198,603,138.3
Barbados,,0.000121467,1.382352941,158929,26094,163498,79.19,1.23,27,23743.5797,24.9798319,69.3088397,159.263115,LATIN AMER. & CARIB,279912,431,22.51,-0.31,12.5,15700,97.4,481.9,37.21,2.33,60.46,2,12.71,8.67,0.06,0.16,0.78,
Belarus,6.92,1.58E-05,90.51533742,2420337,82831,1045422,74.791,0.39,4,28326.7731,303.909019,2542.71585,1769.93301,C.W. OF IND. STATES,10293011,207600,0,2.54,13.37,6100,99.6,319.1,29.55,0.6,69.85,4,11.16,14.02,93,316,591,39.44
Belgium,8.15,0.0013454,2.51131481,40185222,2667546,9208710,81.628,0.39,7,19465.351,61.8855577,1137.10005,2244.1,WESTERN EUROPE,10379067,30528,0.22,1.23,4.68,29100,98,462.6,23.28,0.4,76.32,3,10.38,10.27,0.01,0.24,749,59.46
Benin,30.2,1.65E-06,5.923076923,92587,22134,157607,61.771,9.76,405,50235.1578,1809.78545,3415.56332,6942.93164,SUB-SAHARAN AFRICA,7862944,112620,0.11,0,85,1100,40.9,9.7,18.08,2.4,79.52,2,38.85,12.22,316,138,546,69.76
Bolivia,21,1.28E-05,9.686956522,,,,71.513,3.69,206,30715.5553,1167.19361,2493.79031,2217.72327,LATIN AMER. & CARIB,8989046,1098580,0,-1.32,53.11,2400,87.2,71.9,2.67,0.19,97.14,1.5,23.3,7.53,128,352,0.52,80.47
Botswana,21.42,2.44E-06,4.75,739343,173833,34342,69.592,4.06,129,39611.7917,4101.61902,9096.44959,36297.5972,SUB-SAHARAN AFRICA,1639833,600370,0,0,54.58,9000,79.8,80.5,0.65,0.01,99.34,1,23.08,29.5,24,469,507,31.47
Brazil,25.05,3.63E-05,12.48771211,71791066,51437684,46904570,75.881,1.51,44,27894.0329,15405.9156,83332.8228,92916.4565,LATIN AMER. & CARIB,188078227,8511965,0.09,-0.03,29.61,7600,86.4,225.3,6.96,0.9,92.15,2,16.56,6.17,84,0.4,516,184.87
Brunei,26.45,0.000345242,0.053435115,,,,75.86,0.99,23,25380.9802,4.66454462,35.6971621,43.3251506,ASIA (EX. NEAR EAST),379444,5770,2.79,3.59,12.61,18600,93.9,237.2,0.57,0.76,98.67,2,18.79,3.45,36,561,403,237.31
Bulgaria,9.92,5.71E-05,2.684834123,2570664,81096,2364739,75.046,0.76,11,26541.7295,54.6160183,128.292067,167.591078,EASTERN EUROPE,7385367,110910,0.32,-4.58,20.55,7600,98.6,336.3,40.02,1.92,58.06,3,9.65,14.27,93,304,603,52.87
Burkina Faso,32.05,2.03E-05,1.30141844,341100,68206,290032,61.577,8.46,371,57810.0794,2636.82903,3137.58091,9709.39657,SUB-SAHARAN AFRICA,13902972,274200,0,0,97.57,1100,26.6,7,14.43,0.19,85.38,2,45.62,15.6,322,196,482,28.06
Burundi,20.37,2.47E-07,4.5,68523,50808,70235,61.584,7.17,712,55770.8176,2620.01723,3036.10134,9449.86024,SUB-SAHARAN AFRICA,8090068,27830,0,-0.06,69.29,600,51.6,3.4,35.05,14.02,50.93,2,42.22,13.46,463,203,334,193.73
Cameroon,26.43,1.34E-05,6.862660944,224918,36348,1154686,59.292,7.97,596,52120.3268,22802.7196,29138.2077,59349.7051,SUB-SAHARAN AFRICA,17340702,475440,0.08,0,68.26,1800,79,5.7,12.81,2.58,84.61,1.5,33.89,13.47,448,0.17,382,133.62
Canada,-9.79,2.28E-05,6.391246684,130421080,21342715,25197735,82.434,0.49,7,19226.7704,273.752983,3531.81575,8562.71694,NORTHERN AMERICA,33098932,9984670,2.02,5.96,4.75,29800,97,552.2,4.96,0.02,95.02,,10.78,7.8,22,294,684,24.86
Canada,-9.79,1.51E-07,1.2,130421080,21342715,25197735,82.434,0.49,7,19226.7704,273.752983,3531.81575,8562.71694,NORTHERN AMERICA,33098932,9984670,2.02,5.96,4.75,29800,97,552.2,4.96,0.02,95.02,,10.78,7.8,22,294,684,24.86
Chad,29.55,7.04E-07,9.428571429,84577,24313,273200,54.239,12.73,856,63126.5391,4925.93102,8557.1808,13401.0387,SUB-SAHARAN AFRICA,9944201,1284000,0,-0.11,93.82,1200,47.5,1.3,2.86,0.02,97.12,2,45.73,16.38,335,259,406,8.36
Chile,8.62,0.000187862,4.61134939,12302563,3995091,8402831,80.181,0.83,22,21615.7089,504.545539,4123.84757,5999.08408,LATIN AMER. & CARIB,16134219,756950,0.85,0,8.8,9900,96.2,213,2.65,0.42,96.93,3,15.23,5.81,0.06,493,447,47.04
China,7.59,7.53E-07,0.001010101,372163539,42099126,227408637,76.912,0.99,27,22086.0615,34799.6708,33329.0734,63392.3135,ASIA (EX. NEAR EAST),1313973713,9596960,0.15,-0.4,24.18,5000,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,125,473,403,42.98
Colombia,24.75,2.44E-05,5.578403756,15494691,3455802,3690219,77.287,1.53,64,21427.3295,2636.55877,9518.54984,11247.2972,LATIN AMER. & CARIB,43593035,1138910,0.28,-0.31,20.97,6300,92.5,176.2,2.42,1.67,95.91,2,20.48,5.58,125,342,533,255.56
Costa Rica,25.04,9.20E-05,0.933333333,3199923,231968,955759,80.279,0.88,25,20790.9488,153.219742,386.116079,832.970097,LATIN AMER. & CARIB,4075261,51100,2.52,0.51,9.95,9100,96,340.7,4.41,5.88,89.71,2,18.32,4.36,88,299,614,143.01
Cote d'Ivoire,28.05,1.08E-05,6.015789474,,,,57.783,9.18,645,54257.1239,18818.9196,45203.8214,53020.322,SUB-SAHARAN AFRICA,17654843,322460,0.16,-0.07,90.83,1400,50.9,14.6,9.75,13.84,76.41,2,35.11,14.84,279,171,0.55,120.53
Croatia,10.25,0.00021425,1.165109034,3186333,246084,420021,78.488,0.47,8,21599.1069,9.00151691,44.945605,67.0090916,EASTERN EUROPE,4494749,56542,10.32,1.58,6.84,10600,98.5,420.4,26.09,2.27,71.65,,9.61,11.48,0.07,308,622,85.34
Cuba,24.79,1.86E-05,6.25,12104654,280213,1387078,78.802,0.55,39,21017.6022,361.290512,2814.48143,2897.62326,LATIN AMER. & CARIB,11382820,110860,3.37,-1.58,6.33,2900,97,74.7,33.05,7.6,59.35,2,11.89,7.22,55,261,684,73.45
Cyprus,16.58,0.000408007,1.678125,637433,192165,679906,80.982,0.26,7,18287.1107,1.85721599,111.195008,47.8724461,NEAR EAST,784301,9250,7.01,0.43,7.18,19200,97.6,,7.79,4.44,87.77,3,12.56,7.68,37,198,765,26.5
Denmark,5.87,3.17E-05,0.080924855,28632639,759754,4673880,80.898,0.44,6,19430.9265,26.9257233,408.493022,674.209901,WESTERN EUROPE,5450661,43094,16.97,2.48,4.56,31100,100,614.6,54.02,0.19,45.79,3,11.13,10.36,18,246,735,39.39
Denmark,5.87,1.83E-06,0.1,28632639,759754,4673880,80.898,0.44,6,19430.9265,26.9257233,408.493022,674.209901,WESTERN EUROPE,5450661,43094,16.97,2.48,4.56,31100,100,614.6,54.02,0.19,45.79,3,11.13,10.36,18,246,735,39.39
Denmark,5.87,0.000570023,1.996781461,28632639,759754,4673880,80.898,0.44,6,19430.9265,26.9257233,408.493022,674.209901,WESTERN EUROPE,5450661,43094,16.97,2.48,4.56,31100,100,614.6,54.02,0.19,45.79,3,11.13,10.36,18,246,735,39.39
Djibouti,27.37,6.78E-05,32.24242424,36806,569,17655,67.112,6.42,229,39318.8424,723.582311,819.631714,1177.5415,SUB-SAHARAN AFRICA,486530,23000,1.37,0,104.13,1300,67.9,22.8,0.04,0,99.96,1,39.53,19.31,179,225,596,26.28
Dominican Republic,23.81,0.000139809,4.676012461,2121719,410086,2053348,74.081,3.07,92,30965.8004,2561.68476,3964.64096,7195.5943,LATIN AMER. & CARIB,9183984,48730,2.64,-3.22,32.38,6000,84.7,97.4,22.65,10.33,67.02,2,23.22,5.73,112,306,582,99.93
Ecuador,21.96,0.000202842,8.583697234,4602249,672044,3617933,77.01,2.09,64,25477.0696,1093.05948,3102.62506,3851.36294,LATIN AMER. & CARIB,13547510,283560,0.79,-8.58,23.66,3300,92.5,125.6,5.85,4.93,89.22,2,22.29,4.23,0.07,312,618,240.74
Egypt,22.44,9.87E-06,6.567394095,4523990,1083918,8447137,71.99,2.28,33,35255.0691,64.8141545,556.985945,447.320637,NORTHERN AFRICA,78887007,1001450,0.24,-0.22,32.59,4000,57.7,131.8,2.87,0.48,96.65,1,22.94,5.23,149,357,493,2.35
El Salvador,26.35,4.69E-06,12.25,1235964,127077,537644,73.317,1.5,54,29122.3852,727.9516,1247.16826,2150.43709,LATIN AMER. & CARIB,6822378,21040,1.46,-3.74,25.1,4800,80.2,142.4,31.85,12.07,56.08,2,26.61,5.78,99,302,599,41.88
Equatorial Guinea,24.79,2.78E-05,20,69190,14271,307273,58.735,9.09,342,46657.3864,1752.58943,2359.65792,4422.71257,SUB-SAHARAN AFRICA,540109,28051,1.06,0,85.13,2700,85.7,18.5,4.63,3.57,91.8,2,35.59,15.06,0.03,906,62,225.69
Eritrea,26.87,3.13E-06,1.6,30638,3603,84064,66.321,4.45,501,57076.4135,1520.52409,1766.87591,2754.3415,SUB-SAHARAN AFRICA,4786994,121320,1.84,0,74.87,700,58.6,7.9,4.95,0.03,95.02,1.5,34.33,9.6,102,254,643,10.32
Estonia,3.93,0.000588221,1.174582798,1379798,32011,428821,78.745,0.29,9,23217.9053,37.1833748,206.672207,362.575193,BALTICS,1324333,45226,8.39,-3.16,7.87,12300,99.8,333.8,16.04,0.45,83.51,3,10.04,13.25,0.04,294,666,36.3
Ethiopia,23.8,3.88E-07,3.586206897,708893,535869,1023673,66.597,5.84,353,40653.5305,17180.8649,14483.9544,65739.4498,SUB-SAHARAN AFRICA,74777981,1127127,0,0,95.32,700,42.7,8.2,10.71,0.75,88.54,2,37.98,14.86,475,99,426,92.24
Finland,0.04,0.000276409,2.493084371,18554149,725048,4931334,81.908,0.23,3,19522.2392,6.48266721,161.391949,283.851559,WESTERN EUROPE,5231372,338145,0.37,0.95,3.57,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,28,295,676,28.07
France,9.1,8.38E-07,1.509803922,229719904,40339917,28161132,82.659,0.39,8,17833.0527,491.209772,5187.84076,10761.2949,WESTERN EUROPE,60876136,547030,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,22,214,764,66.52
Gabon,26.09,1.26E-05,14.33333333,270588,51654,112421,66.467,4.74,291,42486.4143,643.716805,724.874754,3861.38834,SUB-SAHARAN AFRICA,1424906,267667,0.33,0,53.64,5500,63.2,27.4,1.26,0.66,98.08,2,36.16,12.25,61,592,348,208.36
Georgia,7.62,2.51E-05,3.837606838,411006,63026,645016,73.767,1.07,36,29519.9039,34.3901674,391.147052,532.755028,C.W. OF IND. STATES,4661473,69700,0.44,-4.7,18.59,2500,99,146.6,11.44,3.86,84.7,3,10.41,9.23,172,275,553,80.79
Germany,7.69,0.000944793,1.107008938,333606523,41727251,54618958,81.326,0.38,6,19580.0999,464.545155,6432.81972,12257.1656,WESTERN EUROPE,82422299,357021,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,9,296,695,52.48
Ghana,29.16,8.70E-06,9.635897436,745736,183687,804156,64.074,5.88,319,45910.455,13877.6961,23103.7904,31954.3147,SUB-SAHARAN AFRICA,22409572,239460,0.23,-0.64,51.43,2200,74.8,14.4,16.26,9.67,74.07,2,30.52,9.72,366,246,387,104.34
Greece,11.93,0.000132391,0.845936396,9807867,795137,5831037,82.239,0.38,3,19396.773,29.5745018,514.053385,431.118433,WESTERN EUROPE,10688058,131940,10.37,2.35,5.53,20000,97.5,589.7,21.1,8.78,70.12,3,9.68,10.24,54,213,733,47.12
Guatemala,24.35,3.17E-06,15.51282051,1643187,358594,2448347,74.302,2.85,88,32309.4459,700.409914,2309.36132,3185.29177,LATIN AMER. & CARIB,12293545,108890,0.37,-1.67,35.93,4100,70.6,92.1,12.54,5.03,82.43,2,29.88,5.2,227,188,585,95.21
Guinea,28.23,3.10E-06,50.23333333,71533,56366,293619,61.602,8.9,679,59374.2905,2988.84077,5699.47841,10354.8429,SUB-SAHARAN AFRICA,9690222,245857,0.13,-3.06,90.37,2100,35.9,2.7,3.63,2.58,93.79,2,41.76,15.48,237,362,401,63.8
Guinea-Bissau,28.91,6.24E-06,27.55555556,7902,3379,66347,58.322,8.81,549,61936.5228,1440.27725,2331.98975,3770.74024,SUB-SAHARAN AFRICA,1442029,36120,0.97,-1.57,107.17,800,42.4,7.4,10.67,8.82,80.51,2,37.22,16.53,0.62,0.12,0.26,2.36
Guyana,25.86,2.48E-05,3.315789474,117144,6225,65413,69.906,3.24,229,37282.7122,195.85407,599.812336,897.733505,LATIN AMER. & CARIB,767245,214970,0.21,-2.07,33.26,4000,98.8,143.5,2.44,0.15,97.41,2,18.28,8.28,0.37,203,427,202
Haiti,24.17,1.93E-06,4.3125,77561,31295,260748,64.001,6.7,359,49023.7315,3850.05149,7910.36614,16727.5607,LATIN AMER. & CARIB,8308504,27750,6.38,-3.4,73.45,1600,52.9,16.9,28.3,11.61,60.09,2,36.44,12.17,0.28,0.2,0.52,123.63
Honduras,24.42,2.35E-05,3.674418605,733069,100730,876413,75.27,1.87,129,28522.4003,62.8726648,478.93514,823.336389,LATIN AMER. & CARIB,7326496,112090,0.73,-1.99,29.32,2600,76.2,67.5,9.55,3.22,87.23,2,28.24,5.28,139,312,549,52.17
Hungary,10.72,5.26E-05,4.453333333,7386728,493387,2918711,76.875,0.52,17,24252.4375,39.8063731,128.222953,162.33054,EASTERN EUROPE,9981334,93030,0,0.86,8.57,13900,99.4,336.2,50.09,2.06,47.85,3,9.72,13.11,37,312,651,43.27
Iceland,-0.46,0.00407498,0.473770492,1529984,30919,309768,82.993,0.21,3,17664.7482,0.85139856,20.1351447,30.0480352,WESTERN EUROPE,299388,103000,4.83,2.38,3.31,30900,99.9,647.7,0.07,0,99.93,3,13.64,6.72,86,0.15,765,65.71
India,27.43,1.82E-06,17.64714715,24799991,9346180,58704452,69.656,4.3,174,39559.7039,52105.6834,99373.5382,191316.653,ASIA (EX. NEAR EAST),1095351995,3287590,0.21,-0.07,56.29,2900,59.5,45.4,54.4,2.74,42.86,2.5,22.01,8.18,186,276,538,31.46
Indonesia,26.02,6.83E-06,5.291592129,13353141,5500679,11780061,71.716,2.64,126,32671.5579,6774.26034,17744.4119,34635.2936,ASIA (EX. NEAR EAST),245452739,1919440,2.85,0,35.6,3200,87.9,52,11.32,7.23,81.45,2,20.34,6.25,134,458,408,271.67
Iran,16.82,0.000692882,1.009665287,,,,76.677,1.51,25,26346.1173,791.783576,3146.28431,2116.76981,ASIA (EX. NEAR EAST),68688433,1648000,0.15,-0.84,41.58,7000,79.4,276.4,8.72,1.39,89.89,1,17,5.55,116,424,0.46,32.41
Iraq,20.71,2.72E-05,1.957417582,2558528,1299,5327301,70.604,3.12,50,30139.2715,115.703769,228.546017,137.821126,NEAR EAST,26783383,437072,0.01,0,50.25,1500,40.4,38.6,13.15,0.78,86.07,1,31.98,5.37,73,666,261,28.78
Ireland,7.69,0.000848548,5.043806208,17704638,3508658,3006436,82.305,0.36,8,18623.252,9.78720801,562.404476,447.462115,WESTERN EUROPE,4062235,70280,2.06,4.99,5.39,29600,98,500.5,15.2,0.03,84.77,3,14.45,7.82,0.05,0.46,0.49,65.88
Israel,18.82,0.00095905,1.642974393,17206074,3355808,6006974,82.972,0.36,5,17481.9098,41.4398628,687.652866,1210.72045,NEAR EAST,6352117,20770,1.31,0.68,7.03,19800,95.4,462.3,16.39,4.17,79.44,3,17.97,6.18,26,317,657,12.41
Italy,9.61,0.00190207,0.875920198,129157639,4559434,40712600,83.512,0.33,4,17021.8347,660.565174,7141.39882,21259.9,WESTERN EUROPE,58133509,301230,2.52,2.07,5.94,26700,98.6,430.9,27.79,9.53,62.68,,8.72,10.4,21,291,688,79
